Snippet ID,Before Dataset Path,After Dataset Path,Before SHA256,After SHA256,Accepted Study Row Count,Accepted Study Row IDs,Recommendation Group,Identical Before After
so_53360610_block_4,dataset/before_agress_yes/so_53360610_block_4.java,dataset/after_agress_yes/so_53360610_block_4.java,bfca89ebd8797ee1e0722f57d8ca70cf799316d01c073f2ee36c2702d0ab0bac,4a6c39e19ca7ac86f3e12c06bb7545f862f06db0baaea6252dca6cba7f595b36,1,621,Improving Code,NO
so_54119640_block_4,dataset/before_agress_yes/so_54119640_block_4.java,dataset/after_agress_yes/so_54119640_block_4.java,1e8670e5db4acea2d69c9616a6fd4f48d79abea75dd11de2bf423a6facede987,c79561d259372e64c92baee0ea15582f9708e25c72982ea45a93bf88bde56fb9,6,54;148;304;341;365;579,Improving Code,NO
so_54298032_block_2,dataset/before_agress_yes/so_54298032_block_2.java,dataset/after_agress_yes/so_54298032_block_2.java,8652eda83c2d8d684097dcd10a396b73c6be540f73d4ab63c984d7b1a4de4d6c,2a4b1694b1b994de43761fa8e98b3fd530e2df3ef7923adac41b73001dceba5d,2,570;718,Improving Code,NO
so_54349072_block_2,dataset/before_agress_yes/so_54349072_block_2.java,dataset/after_agress_yes/so_54349072_block_2.java,1f51f4515b4e03ac75db25bb824d5f477c146ed50a48a9e089343889faf8c5ed,791d83b81ae9259947cba062986d8e28118aaf88f046b37da0ac786166fef35f,1,121,Improving Code,NO
so_55003173_block_2,dataset/before_agress_yes/so_55003173_block_2.java,dataset/after_agress_yes/so_55003173_block_2.java,07e60fb998a8f9bcd70c27208faac95f1b425505ea271105ac15df74414f9395,1b1c4b1325fea9561f254bee4d3a39a583053aaa3e9fbe1183b2c1012f7ee6ff,3,4;230;699,Bug Fixing,NO
so_55728841_block_2,dataset/before_agress_yes/so_55728841_block_2.java,dataset/after_agress_yes/so_55728841_block_2.java,4d89bb077e5b83372997917661e4398633aa34cf71de22fe43056024113d1ad5,63cdac3ad37a46284271ebca9690d4cd3c9fff7b389dda71d72dc21d8969dfe7,1,426,Improving Code,NO
so_55986044_block_2,dataset/before_agress_yes/so_55986044_block_2.java,dataset/after_agress_yes/so_55986044_block_2.java,60e2b0c53a74185a58456e9ce96ea282077d294aac225a75901bd7e017d6e4f4,1c0d54ed4ba855e7efdd7f47700ffe751ceef1190ade624add30fae754575cc0,4,776;777;778;779,Improving Code,NO
so_56259221_block_5,dataset/before_agress_yes/so_56259221_block_5.java,dataset/after_agress_yes/so_56259221_block_5.java,6e710baf5021ced647df67440e3f0088e2aaeb175c867b50a5f5a16b2758da54,18838c8b27e6e856b034de364d789b7436b2c0f6a9d10cf6168812dff63d2811,1,112,Improving Code,NO
so_56611483_block_2,dataset/before_agress_yes/so_56611483_block_2.java,dataset/after_agress_yes/so_56611483_block_2.java,b10b0edcb57260843a135491740d6d751b08b336063592f0bb5a3d507d4a2937,7df0f108fcb297335a8e23ee96c38a7537416475d64e182546d9330eacd81a58,1,269,Improving Code,NO
so_56815_block_2,dataset/before_agress_yes/so_56815_block_2.java,dataset/after_agress_yes/so_56815_block_2.java,a0105f36231b68660f12b424a1c987311a93e10650980a0c33816b16ff371cba,b36be72b0b6cb23bf907e34bed19d1a50c9dd2b79438feb618435991e0e31902,1,130,Improving Code,NO
so_57398454_block_2,dataset/before_agress_yes/so_57398454_block_2.java,dataset/after_agress_yes/so_57398454_block_2.java,522ac93761bae3820068a374f0c58edca01d596503ac022fd229147ed9748a66,51d3cb558f9612b71ece676d90577aa4b560351af02292fe344de388460acce4,6,131;132;133;134;135;136,Improving Code,NO
so_57560955_block_2,dataset/before_agress_yes/so_57560955_block_2.java,dataset/after_agress_yes/so_57560955_block_2.java,9bebb1d011b5d92550ae312757c23fdf47788c588ab70ac142f997030ea4ceb9,68ff14a3d1581f985cc1c8db8cb3a569da679eb58c9b8bfb29b3f05703cf3ac9,1,409,Improving Code,NO
so_57713309_block_2,dataset/before_agress_yes/so_57713309_block_2.java,dataset/after_agress_yes/so_57713309_block_2.java,3003bceeb6b7d89c155867bcec096b9f2f53d9454b26a3af4cb95fe2582276bc,67a6fe2a42449d01b5d917b7e24ec209f906fc77f12729c12a014e677df27ba9,1,771,Bug Fixing,NO
so_57997601_block_2,dataset/before_agress_yes/so_57997601_block_2.java,dataset/after_agress_yes/so_57997601_block_2.java,c2204b2e6fe448f1e0bca6525e480f72c30fd8807ddc1d4aa4ce054ef9a80c24,6ba8c8e8a60ee070eb2b4fc18a0d331a0fe907a54834664759a06b42f67b85dc,2,125;263,Improving Code,NO
so_58346204_block_2,dataset/before_agress_yes/so_58346204_block_2.java,dataset/after_agress_yes/so_58346204_block_2.java,42d72ac618d2360d503a19d8a6947d2a90473ab0c6e2baa4c98f00e61c73c3fe,b2321bb0e5fd19e2d47cfe63f63d317a45888a0d2dbe392486763c34dfc3a94c,1,188,Improving Code,NO
so_58370217_block_2,dataset/before_agress_yes/so_58370217_block_2.java,dataset/after_agress_yes/so_58370217_block_2.java,43cc10d1937302e5a8b329c60b68c21bde909fbe66f219d2199123cbcf13bb24,e5d1a9afc2e2c93478994f4bf08bfa6d0f75d4850cc19d2718ea81477a23b239,25,1;243;343;354;396;413;434;459;502;522;635;636;637;638;639;640;641;720;743;744;745;746;747;748;787,Improving Code,NO
so_58617321_block_2,dataset/before_agress_yes/so_58617321_block_2.java,dataset/after_agress_yes/so_58617321_block_2.java,055294e275cf83d697642244b7e51cba81579307a9bd2e92888a6d5fe34f74c5,cf14625a123db4bab2ab7da6d70ad666935f22e4b1b3ba9e7317da7303bc3bf6,6,84;154;313;374;395;458,Improving Code,NO
so_58993471_block_2,dataset/before_agress_yes/so_58993471_block_2.java,dataset/after_agress_yes/so_58993471_block_2.java,ef4970b0ff9f119100eac4cd671c6849357cd75b102db21dc4f9070398b5bfb8,f776ff3e2c9a7566cb9e148cf653d56af10d4d37cb35490610182f5296c4e2f0,1,46,Improving Code,NO
so_59239733_block_4,dataset/before_agress_yes/so_59239733_block_4.java,dataset/after_agress_yes/so_59239733_block_4.java,866c7c5dfa8d463693730197ec534f632908cbb117f68c086f712f53007464d6,72109c5cd6da1c819dbcc6e8bbceae857142bbde9929f5acb860dd10b7c15a13,1,604,Improving Code,NO
so_59394165_block_2,dataset/before_agress_yes/so_59394165_block_2.java,dataset/after_agress_yes/so_59394165_block_2.java,886f79caa81b421a811937cce1036dd81734d3bc4599d0e1c47c91ef0c7dbfbc,78f1c7409fe5d2667fe587f571e2550dfbe7d1ef6c436b52e87fc43014cea220,1,279,Improving Code,NO
so_59664498_block_2,dataset/before_agress_yes/so_59664498_block_2.java,dataset/after_agress_yes/so_59664498_block_2.java,d287d69a3c23fbe918341bfc2bcb73b02863373fe90d651f46e5099bef5cf1c9,d189ac23b570433f4a4be0e0e8d05bd0c002cd4470213fac1b803667eb5b5698,15,103;168;237;475;653;700;701;702;703;704;705;706;707;708;709,MULTIPLE_TYPES,NO
so_59823215_block_2,dataset/before_agress_yes/so_59823215_block_2.java,dataset/after_agress_yes/so_59823215_block_2.java,43357d3d856c71fb6d89ccf127a0afa3e49da82c8d6649d0c3c87c201b3b0d2f,48ef4037328d8fe5918d14cfdfa8b031acc304f18cae7771b69f142af600a1a6,1,506,Improving Code,NO
so_60123437_block_2,dataset/before_agress_yes/so_60123437_block_2.java,dataset/after_agress_yes/so_60123437_block_2.java,787c23c58283a053ff3169fb08e06ac0b0fb1aa84376a1fe899d91d9112cbb4c,014b2bf4ee56f9a5538e4d2e5f39a20077a9be25886ea5f286b870836444b7a7,1,724,Improving Code,NO
so_60266789_block_2,dataset/before_agress_yes/so_60266789_block_2.java,dataset/after_agress_yes/so_60266789_block_2.java,965d6b102ef4353b34244d3a8f7fd78f7d3ec93de4adf44ac9f067a304994517,f5d0f99e551986ab714a5c9071b6dfd07fd610c30bde3c0915af92838cb3e23c,6,2;12;14;212;283;284,Bug Fixing,NO
so_60565131_block_4,dataset/before_agress_yes/so_60565131_block_4.java,dataset/after_agress_yes/so_60565131_block_4.java,f7eefffaed68691394c2affd941025a4c2a90bc2019ff90b831c8c5a737d460a,cc5dcb34b3883cac1001a00177dbc6a2a24cb4893803423f2681cca119a0657b,1,250,Improving Code,NO
so_60816572_block_6,dataset/before_agress_yes/so_60816572_block_6.java,dataset/after_agress_yes/so_60816572_block_6.java,329a54836850a282dc3481cb3f143073facc9cbd2df43550559ee80238181e47,f1074e03d4993ca8f048ce80063e6775a78b48d1d007a42b89cf1f0193649eec,1,468,Improving Code,NO
so_61006461_block_2,dataset/before_agress_yes/so_61006461_block_2.java,dataset/after_agress_yes/so_61006461_block_2.java,3af40c9b3101eb02d65d7455f92b92554d11fb89a8ee44f115405c335fa5c093,291e635c0c10e349da1f9c6190e86488836fcc7bf88d5b7f39ad7080b7671774,2,422;722,MULTIPLE_TYPES,NO
so_61391737_block_2,dataset/before_agress_yes/so_61391737_block_2.java,dataset/after_agress_yes/so_61391737_block_2.java,afe5debae050bff4788f8fc52e537703bf3707aa7180576e45473bb9bc642a46,1fa0faebc1a75f2c8a69b7ddd74203fc8b550c37c5024c4bdc88cb7787d9bcbe,1,249,Improving Code,NO
so_61780137_block_2,dataset/before_agress_yes/so_61780137_block_2.java,dataset/after_agress_yes/so_61780137_block_2.java,7465b5a38386d21f98a02ec347369b8deaec40fa0723cb23dce98438f6588dea,93a33afa7f5cbb9472e9a0e964095a64cd45eadeb88cf15913b90567c79739c1,2,117;216,Improving Code,NO
so_6236324_block_2,dataset/before_agress_yes/so_6236324_block_2.java,dataset/after_agress_yes/so_6236324_block_2.java,c9df2036e47f9a9627072872705d66b0765c3f4f169a452666a3ab150c03ebff,8bd330a5c0fec90e76e15c2fbd6c6f1bff45921151b4a65ee07ffe3c8397d904,3,191;192;551,Improving Code,NO
so_62722315_block_2,dataset/before_agress_yes/so_62722315_block_2.java,dataset/after_agress_yes/so_62722315_block_2.java,24544c1ad25fc7fae7a77ba58908a49943403da9bf0dcd6e9fcc38e86a4f6ad8,e2ac616925ea8d4ae04ebf349fe282d7c2023af94144d869fbdfe818423a4356,4,219;220;740;791,Improving Code,NO
so_64804977_block_4,dataset/before_agress_yes/so_64804977_block_4.java,dataset/after_agress_yes/so_64804977_block_4.java,eb73f774c73b557fc9bbdbd28788419b61df00c79cfbe106a8cac07198b28239,fa7c2474c77529f96d418929091f6e8a17dbd03a99f03984c2dc539f4a83e723,2,122;227,Bug Fixing,NO
so_64938483_block_2,dataset/before_agress_yes/so_64938483_block_2.java,dataset/after_agress_yes/so_64938483_block_2.java,98b1daded41f2311283afdb0c811cf369edb74131a7ec18e96ba5a02146feeef,7a7d226ceb229cb1a2032306bba7358de48086650875ea2c8bb7a0343506b220,7,57;76;307;368;387;452;763,Improving Code,NO
so_65112087_block_2,dataset/before_agress_yes/so_65112087_block_2.java,dataset/after_agress_yes/so_65112087_block_2.java,00006abdfcee2f0cd6d31027d5d2dfe9cc78f907b796b83f830f607e24bd3795,71b17ab0dfef241038698cbe84f936e0729edbf566847627be4c2299f2e71464,4,41;482;483;710,Improving Code,NO
so_6788456_block_2,dataset/before_agress_yes/so_6788456_block_2.java,dataset/after_agress_yes/so_6788456_block_2.java,f1cdc8df23a8788db77f143d400492d8b4e4c82699cf796fbcc90ec7fb33983d,2f31dd6b5f0f42f763579358fb323649dd81e892378ad9b8812e9ee057ca869b,2,22;23,Improving Code,NO
so_7649183_block_2,dataset/before_agress_yes/so_7649183_block_2.java,dataset/after_agress_yes/so_7649183_block_2.java,d03b3ae9548c5184561cc088497755c110290e7d629b6c5579c5721f7413328a,2f6eef1eb05e2a69335d19e9f035b8501a9370348a2e01fff6f5fa20ca4226ec,1,782,Improving Code,NO
so_7901334_block_2,dataset/before_agress_yes/so_7901334_block_2.java,dataset/after_agress_yes/so_7901334_block_2.java,45255bec872708d2786a046f66ea439a7e400542eaef3c6783a1dfa3859fd27c,a9aad277dc12990c1bb58181039e0f5eaeb76da1990e1f50c75561f975f98e12,1,532,Bug Fixing,NO
so_9109728_block_6,dataset/before_agress_yes/so_9109728_block_6.java,dataset/after_agress_yes/so_9109728_block_6.java,7fb1fe7dcdd73d933b8a0d25a428261ad6eea8353f2ad084bffea0733891f7ae,127fadbdac4aca8ba5eb7c9a95b7cf0333b9b38c5b9ca58cfd251d5e5d0e301a,1,345,Improving Code,NO
so_9293885_block_2,dataset/before_agress_yes/so_9293885_block_2.java,dataset/after_agress_yes/so_9293885_block_2.java,a916c369e52c88a4f6c427a680db92383847125017c9fef3af55b034cb291c19,2a7bfcda094a8dd312bb8740fe545d7bdce7f2ed7470f4dafaef302a58f8d157,15,20;97;178;199;236;314;406;521;571;583;616;649;651;685;750,MULTIPLE_TYPES,NO
so_9709606_block_2,dataset/before_agress_yes/so_9709606_block_2.java,dataset/after_agress_yes/so_9709606_block_2.java,5090c26969e3ab84280a8a899ab6bdf72c644e36c522906e7e56d3ab93d91bc1,1a5084296fd7d236000720935f0f495186e9ee7e9b6cf8a831dec9abfdd2dab0,5,10;11;402;530;672,Improving Code,NO
